"file","arc","id","stimulus_period","recorded_radian","recorded_degree","type","obstacle"
"con_1",0,"1",0,-1.473502997,-84.42550281,"control","none"
"con_2",0,"2",0,1.295963271,74.25322585,"control","none"
"con_3",0,"3",0,-0.314510049,-18.02009843,"control","none"
"con_5",0,"5",0,-2.070025119,-118.6037028,"control","none"
"con_6",0,"6",0,-2.907256359,-166.5735193,"control","none"
"con_7",0,"7",0,-1.601138006,-91.73845015,"control","none"
"con_8",0,"8",0,-0.411935523,-23.60216689,"control","none"
"con_9",0,"9",0,0.331666126,19.00306924,"control","none"
"con_10",0,"10",0,2.803463471,160.6266249,"control","none"
"con_11",0,"11",0,1.452767622,83.23745337,"control","none"
"con_12",0,"12",0,0.143043083,8.195764946,"control","none"
"con_13",0,"13",0,2.254116575,129.1513663,"control","none"
"con_14",0,"14",0,-2.164042099,-123.990479,"control","none"
"con_15",0,"15",0,2.133303295,122.2292752,"control","none"
"con_16",0,"16",0,1.563967862,89.6087578,"control","none"
"con_20",0,"20",0,-1.398656102,-80.13709161,"control","none"
"con_23",0,"23",0,2.540611705,145.5663281,"control","none"
"con_24",0,"24",0,0.752903575,43.1381972,"control","none"
"con_25",0,"25",0,-1.66392532,-95.33589828,"control","none"
"con_26",0,"26",0,2.961883584,169.7034288,"control","none"
"con_27",0,"27",0,0.696913747,39.93021641,"control","none"
"con_28",0,"28",0,-1.560749445,-89.42435605,"control","none"
"con_29",0,"29",0,3.12366038,178.9725564,"control","none"
"con_33",0,"33",0,-2.143345722,-122.8046639,"control","none"
"con_35",0,"35",0,0.807081718,46.24237618,"control","none"
"con_36",0,"36",0,0.679653498,38.94127697,"control","none"
"con_39",0,"39",0,2.210105552,126.6297204,"control","none"
"con_41",0,"41",0,-0.556515497,-31.88598921,"control","none"
"con_44",0,"44",0,-2.612059135,-149.6599643,"control","none"
"con_47",0,"47",0,-2.361094435,-135.2807462,"control","none"
"con_48",0,"48",0,0.473269064,27.11631992,"control","none"
"con_49",0,"49",0,-0.15602618,-8.939641601,"control","none"
"con_50",0,"50",0,2.350855158,134.6940788,"control","none"
"con_51",0,"51",0,2.337447217,133.9258604,"control","none"
"con_101",0,"101",0,2.053614203,117.6634266,"control","none"
"con_102",0,"102",0,0.973644348,55.78571187,"control","none"
"con_104",0,"104",0,1.323412168,75.82593181,"control","none"
"con_105",0,"105",0,-2.35211978,-134.7665363,"control","none"
"con_108",0,"108",0,-1.584809716,-90.80290807,"control","none"
"con_109",0,"109",0,0.07237861,4.146988904,"control","none"
"con_110",0,"110",0,2.632125347,150.8096735,"control","none"
"con_112",0,"112",0,-1.010459983,-57.8950924,"control","none"
"con_116",0,"116",0,2.629116961,150.6373057,"control","none"
"con_117",0,"117",0,0.469831224,26.91934624,"control","none"
"con_119",0,"119",0,-0.628138806,-35.98970252,"control","none"
"con_120",0,"120",0,3.016452151,172.8299773,"control","none"
"con_121",0,"121",0,-1.952184738,-111.8519463,"control","none"
"5_2",5,"2",14,-1.093194984,-62.63545875,"stimulus","none"
"5_3",5,"3",14,1.672408425,95.82194435,"stimulus","none"
"5_5",5,"5",14,1.856946329,106.3951874,"stimulus","none"
"5_6",5,"6",14,-0.032314975,-1.85151167,"stimulus","none"
"5_7",5,"7",14,1.87068915,107.1825931,"stimulus","none"
"5_8",5,"8",14,2.832082172,162.2663557,"stimulus","none"
"5_9",5,"9",14,-2.121792715,-121.5697676,"stimulus","none"
"5_10",5,"10",14,-1.414679651,-81.05517338,"stimulus","none"
"5_11",5,"11",14,-2.733450138,-156.6151564,"stimulus","none"
"5_12",5,"12",14,-0.358185313,-20.5225067,"stimulus","none"
"5_13",5,"13",14,0.235292091,13.48124379,"stimulus","none"
"5_16",5,"16",14,2.361255259,135.2899607,"stimulus","none"
"5_17",5,"17",14,0.410634775,23.52763952,"stimulus","none"
"5_19",5,"19",14,-1.945038862,-111.4425178,"stimulus","none"
"5_21",5,"21",14,0.726108649,41.60296103,"stimulus","none"
"5_22",5,"22",14,0.852449234,48.84174333,"stimulus","none"
